skill,type,tag
"R, Python, Bash",Programming,"data, general"
"Machine learning, neural networks, natural language processing, computer vision, image processing, User Interface (UI) design, data mining, data cleaning, big data, statistics, Bayesian statistics, geospatial analysis, Tidyverse, Pandas, Numpy, Scikit-learn, Pytorch, Keras/Tensorflow",Data Science,"data, teaching, general"
"Linux, Git, Github, Docker, Jupyter Notebooks, Google Colab, Google Cloud Platform, Office, G Suite",Software & Version Control,"data, general"
"Teaching, tutoring, educational support, active learning",Pedagogy,teaching
"Technical communication, public speaking, self-directed learning, adaptability, creativity, empathy, supervision, teamwork",Soft Skills,"teaching, general"
