institution,role,where,date,details,type,tag
UA Science: Sky School,Instructor,"Tucson, AZ",2019 - present, Lead K-12 students in inquiry-based science programs and supervise groups of students' research projects. Explain technical content at different levels. Rapidly adapt to students' needs and interests. First instructor to design coding activities.,general,"data, teaching, general"
University of Arizona,Evolution,"Tucson, AZ",2019 - 2020,"Lead two weekly discussions, engage students with active learning style",GA,"data, teaching, general"
University of Arizona,Ecology ,"Tucson, AZ",2019,"Supervise field experiments, lead two weekly labs",GA,"data, teaching, general"
University of Arizona,Animal Behavior ,"Tucson, AZ",2017 - 2018,"Designed lab curriculum alongside primary instructor, created original lab activities",GA,"data, teaching, general"
University of Arizona,Introductory Biology Lab ,"Tucson, AZ",2018,Lead two weekly labs,GA,"data, teaching, general"
University of Wisconsin - La Crosse,Biology Tutor,"La Crosse, WI",2014 - 2017,"Improved college students' academic success by tutoring concepts, writing, presentations, data analysis, group work, study techniques. Promoted self-directed learning skills.",general,"data, teaching, general"
