title,agency,date,amount
Travel Scholarship,American Museum of Natural History,2019,$600
Travel Scholarship,Tucson Bee Collaborative,2019,$690
Campus Pollinator Garden ,Society for Ecological Restoration - Southwest,2019,$300
Conference Travel,UA Graduate & Professional Student Council,2018,$750
Research Stipend,University of Arizona,2017,"$2,500"
Undergraduate Research And Creativity Grant,University of Wisconsin - La Crosse,2016,"$2,000"
Dean's Distinguished Fellowship,University of Wisconsin - La Crosse,2016,"$4,000"
