institution,degree,course,grade,type
University of Arizona,MS,Data Mining and Discovery,currently enrolled,Programming
University of Arizona,MS,Statistical Natural Language Processing,currently enrolled,Programming
University of Arizona,MS,R Programming,A,Programming
University of Arizona,MS,Intro to Modeling in Biology,A,Programming
University of Arizona,MS,Ecological Forecasting,A ,Math and Statistics
University of Wisconsin - La Crosse,BS,Elementary Statistics,A,Math and Statistics
University of Wisconsin - La Crosse,BS,Quantitative Methods in Ecology,A,Math and Statistics
Waupun High School,HSD,AP Calculus,A,Math and Statistics
University of Wisconsin - La Crosse,BS,Precalculus,A,Math and Statistics
