institution,project,where,date,keywords
University of Arizona,Biosemantics Research Group - research assistantship,"Tucson, AZ",2020,"Web Ontology, Bioinformatics, Botany"
University of Arizona,Winslow Burleson lab - research internship,"Tucson, AZ",2020,"Neural networks, object detection, Pytorch, software development"
University of Arizona,Unlocking big data for biodiversity research,"Tucson, AZ",2019 - 2020,"Machine learning, species distribution models, community science, ecology"
University of Arizona,Begonia intersexual floral mimicry,"Tucson, AZ",2017 - 2019,"Signal Detection Theory, animal behavior, learning, botany"
University of Arizona,Bioacoustics of floral sonication by bees,"Tucson, AZ",2017,"Audio processing, acoustics, botany"
University of Wisconsin - La Crosse,Honey bee sleep,"La Crosse, WI",2016 - 2017,"infrared videography, beekeeping, animal behavior"
